,date,place,race_num,race_rank,position,goal,id,name,tenji,shinnyu,start,time,weather,wind_dir,wind_st,wave,kimarite,age,belongs,weight,player_rank,country_win,country_sub,local_win,local_sub,motor,boat
33,180101,常滑,6,予選,4,3,4080,山崎哲司,6.76,4,0.07,1.52.8,晴,北西,4,3,逃げ,38,愛知,53,A2,6.17,44.87,6.15,46.34,15.38,33.05
34,180101,常滑,6,予選,5,2,4308,河村了,6.65,5,0.18,1.50.5,晴,北西,4,3,逃げ,34,愛知,51,A1,6.58,46.67,6.36,38.78,40.0,43.22
35,180101,常滑,6,予選,6,4,4875,大塚康雅,6.73,6,0.21,1.54.9,晴,北西,4,3,逃げ,23,東京,50,B1,3.84,20.55,2.28,4.0,35.71,35.34
36,180101,常滑,7,予選,1,1,4033,伊藤将吉,6.79,1,0.13,1.50.0,晴,北西,4,3,逃げ,39,静岡,52,A1,6.97,54.48,6.26,52.17,42.86,33.88
37,180101,常滑,7,予選,2,2,4021,吉田健太郎,6.76,3,0.18,1.51.2,晴,北西,4,3,逃げ,37,愛知,52,A2,4.88,30.21,5.27,40.0,33.33,41.74
38,180101,常滑,7,予選,3,3,4903,吉田凌太朗,6.75,4,0.23,1.53.5,晴,北西,4,3,逃げ,24,愛知,52,B1,5.16,33.33,4.42,28.41,30.77,35.71
39,180101,常滑,7,予選,4,4,3554,仲口博崇,6.73,2,0.2,1.54.3,晴,北西,4,3,逃げ,45,愛知,50,A1,6.02,43.44,6.83,48.6,50.0,31.03
40,180101,常滑,7,予選,5,5,3812,山崎聖司,6.74,5,0.29,.,晴,北西,4,3,逃げ,41,東京,51,B1,4.51,21.57,4.32,15.79,35.71,33.91
41,180101,常滑,7,予選,6,6,3867,松浦勝,6.8,6,0.28,.,晴,北西,4,3,逃げ,42,愛知,55,B1,4.69,25.26,4.88,21.74,35.71,41.03
42,180101,常滑,8,予選,1,2,4197,渥美卓郎,6.73,1,0.18,1.51.6,晴,北西,4,3,差し,35,静岡,55,B1,3.46,10.81,4.58,26.32,33.33,27.83
43,180101,常滑,8,予選,2,1,4337,平本真之,6.72,2,0.15,1.49.3,晴,北西,4,3,差し,33,愛知,54,A1,7.47,58.62,7.19,57.8,27.27,33.33
44,180101,常滑,8,予選,3,4,3967,鈴木茂高,6.82,3,0.19,1.55.6,晴,北西,4,3,差し,38,愛知,57,A2,5.62,37.61,6.0,39.13,28.57,40.0
